,user,song,play_count,total_play_count,fractional_play_count
7971,7bdfc45af7e15511d150e2acb798cd5e4788abf5,SOXBCZH12A67ADAD77,8,523,0.015296367112810707
31459,c405c586f6d7aadbbadfcba5393b543fd99372ff,SOXFYTY127E9433E7D,3,522,0.005747126436781609
14683,625d0167edbc5df88e9fbebe3fcdd6b121a316bb,SONOYIB12A81C1F88C,1,597,0.0016750418760469012
10005,20ad98ab543da9ec41c6ac3b6354c5ab3ca6bc5e,SOIMCDE12A6D4F8383,1,429,0.002331002331002331
10371,d331a8bf7d0ca9cb37e375496e6075603f6fb44a,SONYKOW12AB01849C9,40,965,0.04145077720207254
29054,e58e9da7ba717f1bc6079626d5513530dd8f9b97,SOOEEPE12A8AE459A4,25,935,0.026737967914438502
24134,2a3d80f37b92fa113d4f4b0785d797153cca5f63,SOWCKVR12A8C142411,11,397,0.027707808564231738
34060,4cb4632e48cd8960dc113eae340adc402a0413cf,SOVSGXX12A58A7F991,8,459,0.017429193899782137
14660,625d0167edbc5df88e9fbebe3fcdd6b121a316bb,SOKLRPJ12A8C13C3FE,6,597,0.010050251256281407
19371,c3eee61e081ea89785c4fa4a4a0f29f9f5eb5829,SOQWZAB12AB017C6F7,1,187,0.0053475935828877
15484,80c5812424adf785c62f2746a0de0e0ef0085f08,SOSNJIT12A8159E8DB,27,184,0.14673913043478262
15237,736083bd7ecd162effb7668cab6c281945762e85,SOXBCZH12A67ADAD77,1,387,0.002583979328165375
32871,13a2d690b099bcd3fdd256bd39aa14edadd5db08,SOBOUPA12A6D4F81F1,1,658,0.001519756838905775
31219,44bf2bb66daf59a20d7b7df64fda29ec16c74cb9,SOYALKY12A8C137576,3,254,0.011811023622047244
764,67874d1a189c83326c529e554be6f7acf55effae,SONQEYS12AF72AABC9,7,434,0.016129032258064516
7739,6a8fb4968a5f3b0a5b3708258e2582f66001b15a,SOZUPDR12A8C137FB6,1,684,0.0014619883040935672
16317,934438129c278fe6bb3de6a3275dba13891674ab,SOXTYBL12AB01887BB,1,861,0.0011614401858304297
